"month","crime","count"
2002-03-01,"PUBLIC PEACE VIOLATION",208
2002-03-01,"ROBBERY",1301
2002-03-01,"SEX OFFENSE",168
2002-03-01,"STALKING",15
2002-03-01,"THEFT",7223
2002-03-01,"WEAPONS VIOLATION",353
2002-04-01,"ARSON",82
2002-04-01,"ASSAULT",2559
2002-04-01,"BATTERY",7727
2002-04-01,"BURGLARY",1843
2002-04-01,"CRIM SEXUAL ASSAULT",153
2002-04-01,"CRIMINAL DAMAGE",4796
2002-04-01,"CRIMINAL TRESPASS",1210
2002-04-01,"DECEPTIVE PRACTICE",1220
2002-04-01,"GAMBLING",78
2002-04-01,"HOMICIDE",43
2002-04-01,"INTERFERENCE WITH PUBLIC OFFICER",30
2002-04-01,"INTIMIDATION",34
2002-04-01,"KIDNAPPING",73
2002-04-01,"LIQUOR LAW VIOLATION",137
2002-04-01,"MOTOR VEHICLE THEFT",2051
2002-04-01,"NARCOTICS",4572
2002-04-01,"OBSCENITY",1
2002-04-01,"OFFENSE INVOLVING CHILDREN",200
2002-04-01,"OTHER NARCOTIC VIOLATION",1
2002-04-01,"OTHER OFFENSE",2999
2002-04-01,"PROSTITUTION",612
2002-04-01,"PUBLIC INDECENCY",1
2002-04-01,"PUBLIC PEACE VIOLATION",183
2002-04-01,"ROBBERY",1373
2002-04-01,"SEX OFFENSE",170
2002-04-01,"STALKING",17
2002-04-01,"THEFT",7525
2002-04-01,"WEAPONS VIOLATION",345
2002-05-01,"ARSON",83
2002-05-01,"ASSAULT",3179
2002-05-01,"BATTERY",8907
2002-05-01,"BURGLARY",2070
2002-05-01,"CRIM SEXUAL ASSAULT",156
2002-05-01,"CRIMINAL DAMAGE",4880
2002-05-01,"CRIMINAL TRESPASS",1195
2002-05-01,"DECEPTIVE PRACTICE",1197
2002-05-01,"GAMBLING",77
2002-05-01,"HOMICIDE",51
2002-05-01,"INTERFERENCE WITH PUBLIC OFFICER",30
2002-05-01,"INTIMIDATION",22
2002-05-01,"KIDNAPPING",105
2002-05-01,"LIQUOR LAW VIOLATION",128
2002-05-01,"MOTOR VEHICLE THEFT",2026
2002-05-01,"NARCOTICS",4572
2002-05-01,"OBSCENITY",2
2002-05-01,"OFFENSE INVOLVING CHILDREN",207
2002-05-01,"OTHER NARCOTIC VIOLATION",1
2002-05-01,"OTHER OFFENSE",2869
2002-05-01,"PROSTITUTION",596
2002-05-01,"PUBLIC INDECENCY",1
2002-05-01,"PUBLIC PEACE VIOLATION",227
2002-05-01,"ROBBERY",1395
2002-05-01,"SEX OFFENSE",179
2002-05-01,"STALKING",14
2002-05-01,"THEFT",8339
2002-05-01,"WEAPONS VIOLATION",402
2002-06-01,"ARSON",84
2002-06-01,"ASSAULT",3094
2002-06-01,"BATTERY",9520
2002-06-01,"BURGLARY",2151
2002-06-01,"CRIM SEXUAL ASSAULT",168
2002-06-01,"CRIMINAL DAMAGE",4962
2002-06-01,"CRIMINAL TRESPASS",1089
2002-06-01,"DECEPTIVE PRACTICE",1142
2002-06-01,"GAMBLING",121
2002-06-01,"HOMICIDE",66
2002-06-01,"INTERFERENCE WITH PUBLIC OFFICER",32
2002-06-01,"INTIMIDATION",28
2002-06-01,"KIDNAPPING",75
2002-06-01,"LIQUOR LAW VIOLATION",156
2002-06-01,"MOTOR VEHICLE THEFT",1956
2002-06-01,"NARCOTICS",3917
2002-06-01,"OBSCENITY",5
2002-06-01,"OFFENSE INVOLVING CHILDREN",247
2002-06-01,"OTHER OFFENSE",2744
2002-06-01,"PROSTITUTION",444
2002-06-01,"PUBLIC INDECENCY",2
2002-06-01,"PUBLIC PEACE VIOLATION",266
2002-06-01,"ROBBERY",1527
2002-06-01,"SEX OFFENSE",253
2002-06-01,"STALKING",14
2002-06-01,"THEFT",8444
2002-06-01,"WEAPONS VIOLATION",327
2002-07-01,"ARSON",87
2002-07-01,"ASSAULT",3123
2002-07-01,"BATTERY",9806
2002-07-01,"BURGLARY",2448
2002-07-01,"CRIM SEXUAL ASSAULT",175
2002-07-01,"CRIMINAL DAMAGE",5413
2002-07-01,"CRIMINAL TRESPASS",1146
2002-07-01,"DECEPTIVE PRACTICE",1237
2002-07-01,"GAMBLING",123
2002-07-01,"HOMICIDE",68
2002-07-01,"INTERFERENCE WITH PUBLIC OFFICER",36
2002-07-01,"INTIMIDATION",30
2002-07-01,"KIDNAPPING",55
2002-07-01,"LIQUOR LAW VIOLATION",117
2002-07-01,"MOTOR VEHICLE THEFT",2341
2002-07-01,"NARCOTICS",4008
2002-07-01,"OBSCENITY",2
2002-07-01,"OFFENSE INVOLVING CHILDREN",247
2002-07-01,"OTHER OFFENSE",2674
2002-07-01,"PROSTITUTION",574
2002-07-01,"PUBLIC PEACE VIOLATION",246
2002-07-01,"ROBBERY",1804
2002-07-01,"SEX OFFENSE",251
2002-07-01,"STALKING",23
2002-07-01,"THEFT",9641
2002-07-01,"WEAPONS VIOLATION",338
2002-08-01,"ARSON",85
2002-08-01,"ASSAULT",2893
2002-08-01,"BATTERY",8540
2002-08-01,"BURGLARY",2441
2002-08-01,"CRIM SEXUAL ASSAULT",169
2002-08-01,"CRIMINAL DAMAGE",5103
2002-08-01,"CRIMINAL TRESPASS",1152
2002-08-01,"DECEPTIVE PRACTICE",1246
2002-08-01,"GAMBLING",124
2002-08-01,"HOMICIDE",77
2002-08-01,"INTERFERENCE WITH PUBLIC OFFICER",18
2002-08-01,"INTIMIDATION",28
2002-08-01,"KIDNAPPING",78
2002-08-01,"LIQUOR LAW VIOLATION",91
2002-08-01,"MOTOR VEHICLE THEFT",2328
2002-08-01,"NARCOTICS",4132
2002-08-01,"OBSCENITY",2
2002-08-01,"OFFENSE INVOLVING CHILDREN",226
2002-08-01,"OTHER OFFENSE",2615
2002-08-01,"PROSTITUTION",551
2002-08-01,"PUBLIC PEACE VIOLATION",210
2002-08-01,"ROBBERY",1941
2002-08-01,"SEX OFFENSE",191
2002-08-01,"STALKING",15
2002-08-01,"THEFT",9579
2002-08-01,"WEAPONS VIOLATION",375
2002-09-01,"ARSON",105
2002-09-01,"ASSAULT",3005
2002-09-01,"BATTERY",8644
2002-09-01,"BURGLARY",2370
2002-09-01,"CRIM SEXUAL ASSAULT",170
2002-09-01,"CRIMINAL DAMAGE",4953
2002-09-01,"CRIMINAL TRESPASS",1132
2002-09-01,"DECEPTIVE PRACTICE",1126
2002-09-01,"GAMBLING",117
2002-09-01,"HOMICIDE",67
2002-09-01,"INTERFERENCE WITH PUBLIC OFFICER",39
2002-09-01,"INTIMIDATION",41
2002-09-01,"KIDNAPPING",67
2002-09-01,"LIQUOR LAW VIOLATION",111
2002-09-01,"MOTOR VEHICLE THEFT",2205
2002-09-01,"NARCOTICS",3656
2002-09-01,"OBSCENITY",1
